Datetime,HDM_ MW
01-01-2023 00:00,138213
01-01-2023 01:00,134621
01-01-2023 02:00,131385
01-01-2023 03:00,130602
01-01-2023 04:00,133289
01-01-2023 05:00,143889
01-01-2023 06:00,155446
01-01-2023 07:00,167779
01-01-2023 08:00,178771
01-01-2023 09:00,188824
01-01-2023 10:00,193146
01-01-2023 11:00,191647
01-01-2023 12:00,188170
01-01-2023 13:00,182866
01-01-2023 14:00,176996
01-01-2023 15:00,172996
01-01-2023 16:00,168341
01-01-2023 17:00,165446
01-01-2023 18:00,167030
01-01-2023 19:00,163000
01-01-2023 20:00,153913
01-01-2023 21:00,146452
01-01-2023 22:00,139950
01-01-2023 23:00,133976
02-01-2023 00:00,129785
02-01-2023 01:00,126619
02-01-2023 02:00,124533
02-01-2023 03:00,123956
02-01-2023 04:00,127260
02-01-2023 05:00,139014
02-01-2023 06:00,154320
02-01-2023 07:00,171773
02-01-2023 08:00,182768
02-01-2023 09:00,193590
02-01-2023 10:00,199242
02-01-2023 11:00,197852
02-01-2023 12:00,196468
02-01-2023 13:00,191930
02-01-2023 14:00,188880
02-01-2023 15:00,187305
02-01-2023 16:00,183879
02-01-2023 17:00,181132
02-01-2023 18:00,181225
02-01-2023 19:00,176986
02-01-2023 20:00,168859
02-01-2023 21:00,160707
02-01-2023 22:00,152077
02-01-2023 23:00,145024
03-01-2023 00:00,139751
03-01-2023 01:00,135636
03-01-2023 02:00,132432
03-01-2023 03:00,132341
03-01-2023 04:00,136070
03-01-2023 05:00,146923
03-01-2023 06:00,161843
03-01-2023 07:00,178811
03-01-2023 08:00,188645
03-01-2023 09:00,197321
03-01-2023 10:00,202844
03-01-2023 11:00,201666
03-01-2023 12:00,199411
03-01-2023 13:00,194008
03-01-2023 14:00,191796
03-01-2023 15:00,189127
03-01-2023 16:00,185216
03-01-2023 17:00,183021
03-01-2023 18:00,184392
03-01-2023 19:00,182105
03-01-2023 20:00,173063
03-01-2023 21:00,164431
03-01-2023 22:00,155841
03-01-2023 23:00,148169
04-01-2023 00:00,142051
04-01-2023 01:00,138025
04-01-2023 02:00,134772
04-01-2023 03:00,133675
04-01-2023 04:00,137330
04-01-2023 05:00,148226
04-01-2023 06:00,163550
04-01-2023 07:00,179775
04-01-2023 08:00,189393
04-01-2023 09:00,198578
04-01-2023 10:00,201596
04-01-2023 11:00,200051
04-01-2023 12:00,197755
04-01-2023 13:00,193281
04-01-2023 14:00,189725
04-01-2023 15:00,187250
04-01-2023 16:00,184001
04-01-2023 17:00,181642
04-01-2023 18:00,184485
04-01-2023 19:00,182099
04-01-2023 20:00,173649
04-01-2023 21:00,164907
04-01-2023 22:00,156688
04-01-2023 23:00,148440
05-01-2023 00:00,141509
